Goal,Target,Indicators
"16. Peace, Justice and Strong Institutions","16.4 Reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime","16.4.2 Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments"
"16. Peace, Justice and Strong Institutions",16.5 Substantially reduce corruption and bribery in all their forms,"16.5.1 Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months"
"16. Peace, Justice and Strong Institutions",16.5 Substantially reduce corruption and bribery in all their forms,"16.5.2 Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months"
"16. Peace, Justice and Strong Institutions","16.6 Develop effective, accountable and transparent institutions at all levels","16.6.1 Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)"
"16. Peace, Justice and Strong Institutions","16.6 Develop effective, accountable and transparent institutions at all levels",16.6.2 Proportion of population satisfied with their last experience of public services
"16. Peace, Justice and Strong Institutions","16.7 Ensure responsive, inclusive, participatory and representative decision-making at all levels","16.7.1 Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
"16. Peace, Justice and Strong Institutions","16.7 Ensure responsive, inclusive, participatory and representative decision-making at all levels","16.7.2 Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group"
"16. Peace, Justice and Strong Institutions",16.8 Broaden and strengthen the participation of developing countries in the institutions of global governance,16.8.1 Proportion of members and voting rights of developing countries in international organizations
"16. Peace, Justice and Strong Institutions","16.9 Provide legal identity for all, including birth registration","16.9.1 Proportion of children under 5 years of age whose births have been registered with a civil authority, by age"
"16. Peace, Justice and Strong Institutions","16.10 Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1 Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months"
"16. Peace, Justice and Strong Institutions","16.10 Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.2 Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information"
"16. Peace, Justice and Strong Institutions",16.a Strengthen relevant national institutions for building capacity to prevent violence and combat terrorism and crime,16.a.1 Existence of independent national human rights institutions in compliance with the Paris Principles
"16. Peace, Justice and Strong Institutions",16.b Promote and enforce non-discriminatory laws and policies for sustainable development,16.b.1 Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
17. Partnerships for the Goals,17.1 Strengthen domestic resource mobilization to improve domestic capacity for tax and other revenue collection,"17.1.1 Total government revenue as a proportion of GDP, by source"
17. Partnerships for the Goals,17.1 Strengthen domestic resource mobilization to improve domestic capacity for tax and other revenue collection,17.1.2 Proportion of domestic budget funded by domestic taxes
17. Partnerships for the Goals,17.2 Developed countries to implement fully their official development assistance commitments,"17.2.1 Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)"
17. Partnerships for the Goals,17.3 Mobilize additional financial resources for developing countries from multiple sources,17.3.1 Additional financial resources mobilized for developing countries from multiple sources
17. Partnerships for the Goals,17.3 Mobilize additional financial resources for developing countries from multiple sources,17.3.2 Volume of remittances (in United States dollars) as a proportion of total GDP
17. Partnerships for the Goals,17.4 Assist developing countries in attaining long-term debt sustainability,17.4.1 Debt service as a proportion of exports of goods and services
17. Partnerships for the Goals,17.5 Adopt and implement investment promotion regimes for least developed countries,"17.5.1 Number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries"
17. Partnerships for the Goals,"17.6 Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation","17.6.1 Fixed Internet broadband subscriptions per 100 inhabitants, by speed6"
17. Partnerships for the Goals,"17.7 Promote the development, transfer, dissemination and diffusion of environmentally sound technologies to developing countries on favourable terms, including on concessional and preferential terms, as mutually agreed","17.7.1 Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
17. Partnerships for the Goals,"17.8 Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries",17.8.1 Proportion of individuals using the Internet
17. Partnerships for the Goals,17.9 Enhance international support for implementing effective and targeted capacity-building in developing countries,"17.9.1 Dollar value of financial and technical assistance (including through North-South, South‑South and triangular cooperation) committed to developing countries"
17. Partnerships for the Goals,"17.10 Promote a universal, rules-based, open, non‑discriminatory and equitable multilateral trading system",17.10.1 Worldwide weighted tariff-average
17. Partnerships for the Goals,17.11 Significantly increase the exports of developing countries,17.11.1 Developing countries’ and least developed countries’ share of global exports
17. Partnerships for the Goals,17.12 Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries,"17.12.1 Weighted average tariffs faced by developing countries, least developed countries and small island developing States"
17. Partnerships for the Goals,"17.13 Enhance global macroeconomic stability, including through policy coordination and policy coherence",17.13.1 Macroeconomic Dashboard
17. Partnerships for the Goals,17.14 Enhance policy coherence for sustainable development,17.14.1 Number of countries with mechanisms in place to enhance policy coherence of sustainable development
17. Partnerships for the Goals,17.15 Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1 Extent of use of country-owned results frameworks and planning tools by providers of development cooperation
17. Partnerships for the Goals,"17.16 Enhance the Global Partnership for Sustainable Development, complemented by multi-stakeholder partnerships that mobilize and share knowledge, expertise, technology and financial resources, to support the achievement of the Sustainable Development Goals in all countries, in particular developing countries",17.16.1 Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals
17. Partnerships for the Goals,"17.17 Encourage and promote effective public, public-private and civil society partnerships",17.17.1 Amount in United States dollars committed to public-private partnerships for infrastructure
17. Partnerships for the Goals,17.18 Enhance capacity-building support to developing countries,17.18.1 Statistical capacity indicator for Sustainable Development Goal monitoring
17. Partnerships for the Goals,17.18 Enhance capacity-building support to developing countries,17.18.2 Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics
17. Partnerships for the Goals,17.18 Enhance capacity-building support to developing countries,"17.18.3 Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding"
17. Partnerships for the Goals,17.19 Build on existing initiatives to develop measurements of progress on sustainable development,17.19.1 Dollar value of all resources made available to strengthen statistical capacity in developing countries
17. Partnerships for the Goals,17.19 Build on existing initiatives to develop measurements of progress on sustainable development,17.19.2 Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration
